name,gender
savitri,f
najiya,f
partap,m
isika,f
sahna,f
durjan,m
sania,f
harji,m
gurmit,m
shayam,m
moni,f
ratan,m
sambhu,m
hemant,m
jasiram,m
arif,m
jeetu,m
chandru,m
ekram,m
fharman,m
suzata,f
anurudh,m
nancy,f
jyotsana,f
banti,m
garima,f
parsanjeet,m
lakhami,m
mandi,f
shukramani,f
yashsvi,f
navita,f
nirma,f
dhani,m
faizal,m
damodar,m
vansu,m
nazeem,m
sukhdev,m
ankit,f
niru,f
nargesh,f
hayatul,m
kesha,m
araddhna,f
kelashi,f
rikha,f
sukhavinder,m
narsingh,m
kamar,f
lakhmi,m
rukshar,f
mamanbai,f
nishtha,f
kanhaiyalal,m
kunwar,m
yamini,f
parmod,m
chetana,f
sowar,m
vikash,m
janak,m
radhesayam,m
tohseeem,m
sabnam,f
shyamveer,m
yogita,f
versa,f
simarjeet,f
panaj,m
anchal,f
nahani,f
ramwati,f
rustam,m
pinttu,m
mena,f
shahina,f
dharam,m
aman,f
shahida,f
bacchu,m
shazida,f
bahvarkali,f
shilpa,f
shqakuntla,f
anjan,m
asutosh,m
lavi,f
chunnu,m
khushnuma,f
babulal,m
amana,f
hema,m
mool,m
harsha,f
satyawan,m
gautam,m
mohamad,m
gudia,f
giriraj,m
khusbu,f
jisaan,m
bhola,m
kali,f
subhodh,m
mira,f
anupriya,f
gufraan,m
tarun,m
riyajuddin,m
khusbhu,f
kundan,m
leela,m
disha,f
nasir,m
jasvinder,f
alaudin,m
sefali,f
jamuna,f
rambha,f
sarita,m
sikender,m
devika,f
saneha,f
vijendar,m
jeet,m
ruji,f
dikshant,m
fra,f
majid,m
mini,f
junl,m
patik,m
gulabsha,f
jagdiesh,m
montu,m
joginder,m
indara,f
subham,m
bhawna,f
parbha,f
ramlakhan,m
bhateri,f
bajinder,m
tanya,f
aarati,f
minu,f
balwant,m
bhagya,f
mahak,m
samiksa,f
sandha,f
waseem,m
bebi,f
tina,f
rajvir,m
vibhuti,m
ashu,f
uma,f
shayampuri,m
sabbar,m
prinkaya,f
inderpal,m
nasim,f
dhulin,m
lovly,m
wareesha,f
ritika,f
chinta,f
vandana,f
veepinchand,m
nanka,m
kumara,f
abhiraj,m
henkhochon,m
diya,f
vandna,f
kanahiya,m
fazaley,m
vaishali,f
madhuri,f
sonika,f
grace,f
pryanika,f
viresh,m
iram,f
raman,m
raud,m
ramprasad,m
som,m
ankeet,f
prachi,f
deep,m
kalua,m
gori,f
dilsad,m
sanjeeta,f
aamir,m
ameen,m
munesh,f
nand,f
manisha,m
rijakpal,m
aadesh,m
ishant,m
manoti,f
janeshwar,m
buddha,m
khushi,m
fozia,f
anjum,m
akansha,f
ved,m
chaman,m
chetanya,m
sadab,m
constable,m
jasleen,f
sarafraj,m
jenifer,f
murti,f
koshalya,m
goldy,m
gulsher,m
aruni,f
siraz,m
suwa,m
baburam,m
tundiram,m
rekha,m
guljan,f
sadhna,f
naved,m
ankush,m
gaytri,f
manohar,m
bhorelal,m
methun,m
yogendra,m
pari,m
aryan,m
tejpal,m
vishnu,m
ishrat,f
miraj,m
gulab,m
chetan,f
sira,f
reemi,f
halima,f
dhakhadevi,f
molu,m
aanamika,f
noorjama,m
sukhvir,f
niraj,m
veshali,f
farman,m
aakil,m
swarn,m
lali,f
rubi,f
jaiwanti,f
shahib,m
pangita,f
shahnwaj,m
shahiba,f
chetan,m
kanisk,m
bilke,f
punam,f
naryan,m
shaymu,m
panchu,f
danish,m
bhikhari,m
dharambir,m
navneet,f
englas,f
killo,f
manosh,m
harmani,m
suleman,m
sabid,m
basanti,f
pirmika,f
janid,f
mahaveer,m
darshan,f
kalpeshwari,f
gulnaza,f
raveena,f
mohmad,m
kumare,f
neeru,f
danwati,f
shankar,f
rubee,f
aasish,m
chetanram,m
kajul,f
adil,m
abida,f
laxmi,m
manuvar,m
mohsina,f
safika,f
fakiha,f
sharib,m
aidtya,m
radikha,f
shamrin,f
aalam,m
nanak,m
amrit,m
azad,m
dharmbir,m
son,m
bhoori,f
manav,m
asmina,f
motiya,f
suhani,f
niyaaz,m
baggusingh,m
nanhe,m
ankesh,m
lakhbir,f
mashli,f
arpit,m
mukhtiyar,m
ramjani,m
guni,f
aashu,m
nagendra,m
sheetal,f
sohaib,m
lokendra,m
parmila,f
sajid,m
padam,m
radhika,f
paras,m
chabi,m
firdous,f
vikrant,m
lta,f
amjat,m
rajvi,m
shabnam,f
radhe,m
harleen,f
dular,m
har,m
bhagwan,m
deshraj,m
rajneesh,m
gouri,f
basir,m
hawa,m
vijendra,m
aditya,m
makbul,m
mudbir,m
omprakash,m
govinda,m
sumaila,f
manju,m
lahida,f
shabina,f
brijlal,m
phuli,f
bhoop,m
versha,f
shakti,m
hajrati,f
jafar,m
hira,f
kishn,m
majida,f
sumnesh,f
baljeet,f
deepansu,m
harvansh,m
rati,m
papa,m
chandan,f
anwarulhaq,m
khusboo,f
namarta,f
sabir,m
munish,m
mansur,m
gitika,f
yashoda,f
shahnawaz,m
samsuddin,m
pratul,m
maatwar,m
jitan,m
arajun,m
ayube,m
mahak,f
vinod,f
nawab,m
ali,f
masuma,f
nemsi,f
salim,m
rima,f
gora,m
zina,f
mayank,m
anooj,m
ashwini,m
kaish,m
dipika,f
birma,f
tamana,m
karandeep,m
sweety,f
satender,m
shiya,f
sarvash,m
rihan,m
bhagwati,f
alisha,f
pareen,m
harshit,m
pinkee,f
jebi,f
karunakar,m
ishawari,f
parvti,f
afzal,m
chhidu,m
neni,f
axat,m
jashgul,f
bansilal,m
anara,f
khushboo,f
iarfan,m
narbahadur,m
pampa,f
heena,f
shrikant,m
laskshita,f
shubham,m
kanchi,m
parul,f
dhirpal,m
dheeraj,m
davender,m
vasuki,m
shobhit,m
suhaliya,f
shaulal,m
rosy,f
sarika,f
khima,f
kuntesh,f
mannu,m
krishka,f
anandi,f
panchuram,m
sazid,m
durganand,m
rameshwer,m
jitesh,m
sarvan,m
chitra,m
payana,f
bala,f
siksha,f
malkeet,m
ibarhim,m
aanad,m
patras,m
akif,m
satbir,m
devpal,m
ghurul,m
bram,m
seetal,f
maushid,m
unnati,f
muneer,m
mukul,m
kusumlatta,f
nathi,f
bhteri,f
paramveer,m
badal,m
razi,m
mahadev,m
latif,m
gulbasha,f
gurvinder,m
krishana,m
niranjan,m
kishor,m
kirpa,m
ranjita,f
tulsi,f
siya,f
babli,m
noor,f
jaibhagwan,m
muzaffar,m
